prBoundary,drawing,189,0,Defines boundary of layout cells
MIM,drawing,36,0,Defines Metal-Insulator-Metal capacitor area
Metal4,drawing,50,0,Defines 4-th metal interconnect
Metal4,pin,50,2,Metal4 pin layer
Metal4,mask,50,20,added to Metal4: drawing at mask generation
Metal4,filler,50,22,Metal4filler layer
Metal4,nofill,50,23,Metal4filler exclusion layer
Metal4,slit,50,24,Metal4slit definition layer
Metal4,text,50,25,"Text layer for Metal4, used for LVS"
Metal4,OPC,50,26,Metal4 OPC definition layer
Metal4,noqrc,50,28,No parasitics extraction
Metal4,res,50,29,Wire resistor
Metal4,iprobe,50,33,Current probe
Metal4,diffprb,50,34,Differential Current probe
Via4,drawing,66,0,Defines 4-th metal to 5-th metal contact
Metal5,drawing,67,0,Defines 5-th metal interconnect
Metal5,pin,67,2,Metal5 pin layer
Metal5,mask,67,20,added to Metal5: drawing at mask generation
Metal5,filler,67,22,Metal5 filler layer
Metal5,nofill,67,23,Metal5 filler exclusion layer
Metal5,slit,67,24,Metal5 slit definition layer
Metal5,text,67,25,Text layer for Metal5
Metal5,OPC,67,26,Metal5 OPC definition layer
Metal5,noqrc,67,28,No parasitics extraction
Metal5,res,67,29,Wire resistor
Metal5,iprobe,67,33,Current probe
Metal5,diffprb,67,34,Differential Current probe
TopVia1,drawing,125,0,"Defines 3-rd (or 5-th) metal to TopMetal1
TopMetal1,drawing,126,0,Defines 1-st thick TopMetal layer
TopMetal1,pin,126,2,TopMetal1 pin layer
TopMetal1,mask,126,20,"Added to TopMetal1: drawing at mask
TopMetal1,filler,126,22,TopMetal1 filler layer
TopMetal1,nofill,126,23,TopMetal1 filler exclusion layer
TopMetal1,slit,126,24,TopMetal1 slit definition layer
TopMetal1,text,126,25,"Text layer forTopMetal1, used for LVS"
TopMetal1,noqrc,126,28,No parasitics extraction
TopMetal1,res,126,29,Wire resistor
TopMetal1,iprobe,126,33,Current probe
TopMetal1,diffprb,126,34,Differential Current probe
Vmim,drawing,129,0,used to mark net mim capacitors
TopVia2,drawing,133,0,"Defines via between TopMetal1 and
TopMetal2,drawing,134,0,Defines 2-nd thick TopMetal layer
TopMetal2,pin,134,2,TopMetal2 pin layer
TopMetal2,mask,134,20,"added to TopMetal2: drawing at mask
TopMetal2,filler,134,22,Top Metal2 filler layer
TopMetal2,nofill,134,23,Top Metal2 filler exclusion layer
TopMetal2,slit,134,24,TopMetal2 slit definition layer
TopMetal2,text,134,25,Text layer forTopMetal2
TopMetal2,noqrc,134,28,No parasitics extraction
TopMetal2,res,134,29,Wire resistor
TopMetal2,iprobe,134,33,Current probe
TopMetal2,diffprb,134,34,Differential Current probe
MEMVia,drawing,145,0,Local Vias within RFM area
ThinFilmRes,drawing,146,0,"ThinFilmRes(V) and recognition layer for RFMEMS"
RFMEM,drawing,147,0,Areas for integrated RFMEMS devices
Passiv,drawing,9,0,Defines regions where passivation coating is removed
Passiv,pin,9,2,Passiv pin layer
Passiv,pillar,9,35,Passiv copper pillar layer
Passiv,sbump,9,36,Passiv solder bump layer
Passiv,pdl,9,40,Passiv PDL layer
EdgeSeal,drawing,39,0,"EdgeSeal definition layer, reserved for internal use only"
EdgeSeal,boundary,39,4,EdgeSeal boundary layer
dfpad,drawing,41,0,Pad recognition layer
dfpad,pillar,41,35,Copper pillar pad recognition layer
dfpad,sbump,41,36,Solder bump pad recognition layer
TEXT,drawing,63,0,"Macro cell name, element text layer"
LBE,drawing,157,0,For localized back side etch
IND,drawing,27,0,Identifies inductor areas
IND,pin,27,2,IND pin layer
IND,text,27,25,Text layer for IND
